user_id,product_id,category
U0001,P0133,Books
U0001,P0456,Books
U0001,P0139,Books
U0001,P0225,Pet Supplies
U0001,P0331,Home & Kitchen
U0002,P0331,Home & Kitchen
U0002,P0222,Automotive
U0002,P0279,Sports & Outdoors
U0002,P0348,Pet Supplies
U0002,P0387,Pet Supplies
U0003,P0361,Electronics
U0003,P0383,Electronics
U0003,P0481,Electronics
U0003,P0482,Electronics
U0003,P0356,Clothing
U0004,P0419,Beauty & Personal Care
U0004,P0029,Beauty & Personal Care
U0004,P0483,Beauty & Personal Care
U0004,P0366,Pet Supplies
U0004,P0017,Beauty & Personal Care
U0005,P0328,Pet Supplies
U0005,P0338,Pet Supplies
U0005,P0387,Pet Supplies
U0005,P0403,Pet Supplies
U0005,P0037,Beauty & Personal Care
U0006,P0479,Home & Kitchen
U0006,P0295,Clothing
U0006,P0363,Home & Kitchen
U0006,P0478,Home & Kitchen
U0006,P0155,Clothing
U0007,P0106,Home & Kitchen
U0007,P0027,Home & Kitchen
U0007,P0186,Home & Kitchen
U0007,P0478,Home & Kitchen
U0007,P0279,Sports & Outdoors
U0008,P0170,Clothing
U0008,P0051,Clothing
U0008,P0071,Clothing
U0008,P0325,Clothing
U0008,P0481,Electronics
U0009,P0051,Clothing
U0009,P0071,Clothing
U0009,P0440,Books
U0009,P0279,Sports & Outdoors
U0009,P0139,Books
U0010,P0417,Automotive
U0010,P0114,Automotive
U0010,P0339,Automotive
U0010,P0047,Automotive
U0010,P0118,Toys
U0011,P0138,Beauty & Personal Care
U0011,P0483,Beauty & Personal Care
U0011,P0107,Beauty & Personal Care
U0011,P0183,Beauty & Personal Care
U0011,P0317,Health
U0012,P0168,Toys
U0012,P0313,Toys
U0012,P0267,Toys
U0012,P0118,Toys
U0012,P0083,Automotive
U0013,P0119,Clothing
U0013,P0155,Clothing
U0013,P0071,Clothing
U0013,P0223,Clothing
U0013,P0351,Sports & Outdoors
U0014,P0089,Automotive
U0014,P0141,Toys
U0014,P0017,Beauty & Personal Care
U0014,P0135,Pet Supplies
U0014,P0298,Home & Kitchen
U0015,P0070,Clothing
U0015,P0391,Clothing
U0015,P0071,Clothing
U0015,P0170,Clothing
U0015,P0373,Pet Supplies
U0016,P0479,Home & Kitchen
U0016,P0124,Sports & Outdoors
U0016,P0402,Home & Kitchen
U0016,P0148,Home & Kitchen
U0016,P0478,Home & Kitchen
U0017,P0141,Toys
U0017,P0309,Toys
U0017,P0313,Toys
U0017,P0416,Toys
U0017,P0281,Beauty & Personal Care
U0018,P0173,Electronics
U0018,P0383,Electronics
U0018,P0107,Beauty & Personal Care
U0018,P0482,Electronics
U0018,P0361,Electronics
U0019,P0481,Electronics
U0019,P0426,Electronics
U0019,P0383,Electronics
U0019,P0361,Electronics
U0019,P0134,Pet Supplies
U0020,P0479,Home & Kitchen
U0020,P0096,Home & Kitchen
U0020,P0402,Home & Kitchen
U0020,P0209,Home & Kitchen
U0020,P0401,Pet Supplies
U0021,P0071,Clothing
U0021,P0356,Clothing
U0021,P0298,Home & Kitchen
U0021,P0373,Pet Supplies
U0021,P0051,Clothing
U0022,P0298,Home & Kitchen
U0022,P0154,Home & Kitchen
U0022,P0363,Home & Kitchen
U0022,P0463,Home & Kitchen
U0022,P0267,Toys
U0023,P0216,Sports & Outdoors
U0023,P0171,Beauty & Personal Care
U0023,P0166,Sports & Outdoors
U0023,P0148,Home & Kitchen
U0023,P0249,Sports & Outdoors
U0024,P0013,Beauty & Personal Care
U0024,P0189,Health
U0024,P0089,Automotive
U0024,P0222,Automotive
U0024,P0247,Health
U0025,P0221,Health
U0025,P0342,Health
U0025,P0044,Health
U0025,P0299,Sports & Outdoors
U0025,P0476,Sports & Outdoors
U0026,P0119,Clothing
U0026,P0155,Clothing
U0026,P0071,Clothing
U0026,P0223,Clothing
U0026,P0338,Pet Supplies
U0027,P0375,Electronics
U0027,P0162,Electronics
U0027,P0038,Electronics
U0027,P0064,Electronics
U0027,P0307,Beauty & Personal Care
U0028,P0424,Beauty & Personal Care
U0028,P0267,Toys
U0028,P0016,Toys
U0028,P0141,Toys
U0028,P0127,Beauty & Personal Care
U0029,P0091,Beauty & Personal Care
U0029,P0427,Automotive
U0029,P0013,Beauty & Personal Care
U0029,P0451,Health
U0029,P0089,Automotive
U0030,P0305,Pet Supplies
U0030,P0387,Pet Supplies
U0030,P0366,Pet Supplies
U0030,P0328,Pet Supplies
U0030,P0027,Home & Kitchen
U0031,P0151,Sports & Outdoors
U0031,P0166,Sports & Outdoors
U0031,P0299,Sports & Outdoors
U0031,P0161,Sports & Outdoors
U0031,P0440,Books
U0032,P0323,Toys
U0032,P0400,Toys
U0032,P0332,Toys
U0032,P0141,Toys
U0032,P0351,Sports & Outdoors
U0033,P0223,Clothing
U0033,P0071,Clothing
U0033,P0051,Clothing
U0033,P0172,Clothing
U0033,P0437,Sports & Outdoors
U0034,P0162,Electronics
U0034,P0375,Electronics
U0034,P0039,Electronics
U0034,P0173,Electronics
U0034,P0298,Home & Kitchen
U0035,P0114,Automotive
U0035,P0339,Automotive
U0035,P0152,Automotive
U0035,P0330,Automotive
U0035,P0210,Sports & Outdoors
U0036,P0417,Automotive
U0036,P0222,Automotive
U0036,P0339,Automotive
U0036,P0427,Automotive
U0036,P0063,Toys
U0037,P0383,Electronics
U0037,P0038,Electronics
U0037,P0481,Electronics
U0037,P0162,Electronics
U0037,P0017,Beauty & Personal Care
U0038,P0022,Pet Supplies
U0038,P0304,Pet Supplies
U0038,P0476,Sports & Outdoors
U0038,P0449,Pet Supplies
U0038,P0002,Sports & Outdoors
U0039,P0071,Clothing
U0039,P0172,Clothing
U0039,P0222,Automotive
U0039,P0279,Sports & Outdoors
U0039,P0190,Books
U0040,P0154,Home & Kitchen
U0040,P0139,Books
U0040,P0463,Home & Kitchen
U0040,P0148,Home & Kitchen
U0040,P0331,Home & Kitchen
U0041,P0071,Clothing
U0041,P0051,Clothing
U0041,P0054,Clothing
U0041,P0223,Clothing
U0041,P0481,Electronics
U0042,P0118,Toys
U0042,P0141,Toys
U0042,P0409,Toys
U0042,P0369,Toys
U0042,P0135,Pet Supplies
U0043,P0162,Electronics
U0043,P0481,Electronics
U0043,P0421,Electronics
U0043,P0094,Electronics
U0043,P0388,Books
U0044,P0325,Clothing
U0044,P0356,Clothing
U0044,P0165,Clothing
U0044,P0295,Clothing
U0044,P0053,Home & Kitchen
U0045,P0356,Clothing
U0045,P0071,Clothing
U0045,P0295,Clothing
U0045,P0051,Clothing
U0045,P0064,Electronics
U0046,P0138,Beauty & Personal Care
U0046,P0307,Beauty & Personal Care
U0046,P0030,Beauty & Personal Care
U0046,P0013,Beauty & Personal Care
U0046,P0373,Pet Supplies
U0047,P0071,Clothing
U0047,P0295,Clothing
U0047,P0328,Pet Supplies
U0047,P0279,Sports & Outdoors
U0047,P0449,Pet Supplies
U0048,P0216,Sports & Outdoors
U0048,P0097,Sports & Outdoors
U0048,P0161,Sports & Outdoors
U0048,P0266,Sports & Outdoors
U0048,P0451,Health
U0049,P0023,Beauty & Personal Care
U0049,P0107,Beauty & Personal Care
U0049,P0200,Beauty & Personal Care
U0049,P0307,Beauty & Personal Care
U0049,P0473,Health
U0050,P0053,Home & Kitchen
U0050,P0255,Home & Kitchen
U0050,P0172,Clothing
U0050,P0463,Home & Kitchen
U0050,P0331,Home & Kitchen
U0051,P0440,Books
U0051,P0133,Books
U0051,P0279,Sports & Outdoors
U0051,P0190,Books
U0051,P0388,Books
U0052,P0172,Clothing
U0052,P0071,Clothing
U0052,P0427,Automotive
U0052,P0183,Beauty & Personal Care
U0052,P0037,Beauty & Personal Care
U0053,P0038,Electronics
U0053,P0383,Electronics
U0053,P0481,Electronics
U0053,P0426,Electronics
U0053,P0017,Beauty & Personal Care
U0054,P0216,Sports & Outdoors
U0054,P0138,Beauty & Personal Care
U0054,P0307,Beauty & Personal Care
U0054,P0412,Beauty & Personal Care
U0054,P0259,Beauty & Personal Care
U0055,P0449,Pet Supplies
U0055,P0232,Pet Supplies
U0055,P0135,Pet Supplies
U0055,P0162,Electronics
U0055,P0038,Electronics
U0056,P0045,Health
U0056,P0279,Sports & Outdoors
U0056,P0210,Sports & Outdoors
U0056,P0329,Sports & Outdoors
