user_id,model_type,hit
U0001,baseline,0
U0001,ai_model,0
U0002,baseline,0
U0002,ai_model,0
U0003,baseline,0
U0003,ai_model,0
U0004,baseline,0
U0004,ai_model,0
U0005,baseline,0
U0005,ai_model,0
U0006,baseline,0
U0006,ai_model,0
U0007,baseline,0
U0007,ai_model,0
U0008,baseline,0
U0008,ai_model,1
U0009,baseline,0
U0009,ai_model,0
U0010,baseline,0
U0010,ai_model,0
U0011,baseline,0
U0011,ai_model,0
U0012,baseline,0
U0012,ai_model,0
U0013,baseline,0
U0013,ai_model,0
U0014,baseline,0
U0014,ai_model,0
U0015,baseline,0
U0015,ai_model,0
U0016,baseline,0
U0016,ai_model,0
U0017,baseline,0
U0017,ai_model,0
U0018,baseline,0
U0018,ai_model,0
U0019,baseline,0
U0019,ai_model,0
U0020,baseline,0
U0020,ai_model,0
U0021,baseline,0
U0021,ai_model,0
U0022,baseline,0
U0022,ai_model,0
U0023,baseline,0
U0023,ai_model,0
U0024,baseline,0
U0024,ai_model,0
U0025,baseline,0
U0025,ai_model,0
U0026,baseline,0
U0026,ai_model,0
U0027,baseline,0
U0027,ai_model,0
U0028,baseline,0
U0028,ai_model,1
U0029,baseline,0
U0029,ai_model,0
U0030,baseline,0
U0030,ai_model,0
U0031,baseline,0
U0031,ai_model,0
U0032,baseline,0
U0032,ai_model,0
U0033,baseline,0
U0033,ai_model,0
U0034,baseline,0
U0034,ai_model,0
U0035,baseline,0
U0035,ai_model,0
U0036,baseline,0
U0036,ai_model,0
U0037,baseline,0
U0037,ai_model,0
U0038,baseline,0
U0038,ai_model,0
U0039,baseline,0
U0039,ai_model,0
U0040,baseline,0
U0040,ai_model,0
U0041,baseline,0
U0041,ai_model,1
U0042,baseline,0
U0042,ai_model,0
U0043,baseline,0
U0043,ai_model,0
U0044,baseline,0
U0044,ai_model,0
U0045,baseline,0
U0045,ai_model,0
U0046,baseline,0
U0046,ai_model,0
U0047,baseline,0
U0047,ai_model,0
U0048,baseline,0
U0048,ai_model,0
U0049,baseline,0
U0049,ai_model,0
U0050,baseline,0
U0050,ai_model,1
U0051,baseline,0
U0051,ai_model,1
U0052,baseline,0
U0052,ai_model,0
U0053,baseline,1
U0053,ai_model,0
U0054,baseline,0
U0054,ai_model,0
U0055,baseline,0
U0055,ai_model,0
U0056,baseline,0
U0056,ai_model,0
U0057,baseline,0
U0057,ai_model,0
U0058,baseline,0
U0058,ai_model,0
U0059,baseline,0
U0059,ai_model,0
U0060,baseline,0
U0060,ai_model,0
U0061,baseline,0
U0061,ai_model,0
U0062,baseline,0
U0062,ai_model,1
U0063,baseline,0
U0063,ai_model,0
U0064,baseline,0
U0064,ai_model,0
U0065,baseline,0
U0065,ai_model,0
U0066,baseline,0
U0066,ai_model,0
U0067,baseline,0
U0067,ai_model,0
U0068,baseline,0
U0068,ai_model,0
U0069,baseline,0
U0069,ai_model,0
U0070,baseline,0
U0070,ai_model,0
U0071,baseline,0
U0071,ai_model,1
U0072,baseline,0
U0072,ai_model,0
U0073,baseline,0
U0073,ai_model,0
U0074,baseline,0
U0074,ai_model,0
U0075,baseline,0
U0075,ai_model,0
U0076,baseline,0
U0076,ai_model,1
U0077,baseline,0
U0077,ai_model,0
U0078,baseline,0
U0078,ai_model,0
U0079,baseline,1
U0079,ai_model,1
U0080,baseline,0
U0080,ai_model,0
U0081,baseline,0
U0081,ai_model,0
U0082,baseline,0
U0082,ai_model,0
U0083,baseline,0
U0083,ai_model,0
U0084,baseline,0
U0084,ai_model,0
U0085,baseline,0
U0085,ai_model,0
U0086,baseline,0
U0086,ai_model,0
U0087,baseline,0
U0087,ai_model,0
U0088,baseline,0
U0088,ai_model,0
U0089,baseline,0
U0089,ai_model,1
U0090,baseline,0
U0090,ai_model,0
U0091,baseline,0
U0091,ai_model,0
U0092,baseline,0
U0092,ai_model,0
U0093,baseline,0
U0093,ai_model,1
U0094,baseline,0
U0094,ai_model,0
U0095,baseline,0
U0095,ai_model,0
U0096,baseline,0
U0096,ai_model,1
U0097,baseline,0
U0097,ai_model,0
U0098,baseline,0
U0098,ai_model,0
U0099,baseline,0
U0099,ai_model,0
U0100,baseline,0
U0100,ai_model,0
U0101,baseline,0
U0101,ai_model,0
U0102,baseline,0
U0102,ai_model,0
U0103,baseline,0
U0103,ai_model,0
U0104,baseline,0
U0104,ai_model,1
U0105,baseline,0
U0105,ai_model,0
U0106,baseline,0
U0106,ai_model,0
U0107,baseline,0
U0107,ai_model,0
U0108,baseline,0
U0108,ai_model,1
U0109,baseline,0
U0109,ai_model,0
U0110,baseline,0
U0110,ai_model,0
U0111,baseline,0
U0111,ai_model,1
U0112,baseline,0
U0112,ai_model,0
U0113,baseline,0
U0113,ai_model,0
U0114,baseline,0
U0114,ai_model,0
U0115,baseline,0
U0115,ai_model,0
U0116,baseline,0
U0116,ai_model,0
U0117,baseline,0
U0117,ai_model,0
U0118,baseline,1
U0118,ai_model,0
U0119,baseline,0
U0119,ai_model,0
U0120,baseline,0
U0120,ai_model,0
U0121,baseline,0
U0121,ai_model,1
U0122,baseline,0
U0122,ai_model,1
U0123,baseline,0
U0123,ai_model,0
U0124,baseline,0
U0124,ai_model,0
U0125,baseline,0
U0125,ai_model,0
U0126,baseline,0
U0126,ai_model,0
U0127,baseline,0
U0127,ai_model,0
U0128,baseline,0
U0128,ai_model,0
U0129,baseline,0
U0129,ai_model,0
U0130,baseline,0
U0130,ai_model,0
U0131,baseline,0
U0131,ai_model,0
U0132,baseline,0
U0132,ai_model,0
U0133,baseline,0
U0133,ai_model,0
U0134,baseline,0
U0134,ai_model,0
U0135,baseline,0
U0135,ai_model,0
U0136,baseline,0
U0136,ai_model,0
U0137,baseline,0
U0137,ai_model,0
U0138,baseline,1
U0138,ai_model,0
U0139,baseline,0
U0139,ai_model,0
U0140,baseline,0
U0140,ai_model,0
U0141,baseline,0
U0141,ai_model,0
U0142,baseline,0
